dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1672531200,2023-01-01 00:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,293.45,292.95,290.3,296.7,1012,54,6.63,64,7.22,,,13,801,Clouds,few clouds,02n
1672534800,2023-01-01 01:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,293.45,292.95,290.3,296.7,1012,54,6.63,64,7.22,,,13,801,Clouds,few clouds,02n
1672538400,2023-01-01 02:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,293.26,292.92,291.17,295.95,1013,61,7.55,89,6.91,,,38,802,Clouds,scattered clouds,03n
1672542000,2023-01-01 03:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,293.26,292.92,291.17,295.95,1013,61,7.55,89,6.91,,,38,802,Clouds,scattered clouds,03n
1672545600,2023-01-01 04:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,293.26,292.92,291.17,295.95,1013,61,7.55,89,6.91,,,38,802,Clouds,scattered clouds,03d
1672549200,2023-01-01 05:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,295.94,295.74,295.25,296.41,1014,56,6.35,93,6.82,,,5,800,Clear,sky is clear,01d
1672552800,2023-01-01 06:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,295.94,295.74,295.25,296.41,1014,56,6.35,93,6.82,,,5,800,Clear,sky is clear,01d
1672556400,2023-01-01 07:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,295.94,295.74,295.25,296.41,1014,56,6.35,93,6.82,,,5,800,Clear,sky is clear,01d
1672560000,2023-01-01 08:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,300.2,300.68,297.06,302.13,1013,51,4.41,114,6.82,,,7,800,Clear,sky is clear,01d
1672563600,2023-01-01 09:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,300.2,300.68,297.06,302.13,1013,51,4.41,114,6.82,,,7,800,Clear,sky is clear,01d
1672567200,2023-01-01 10:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,300.2,300.68,297.06,302.13,1013,51,4.41,114,6.82,,,7,800,Clear,sky is clear,01d
1672570800,2023-01-01 11:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,301.22,301.96,297.58,303.92,1010,53,5.05,177,4.52,,,5,800,Clear,sky is clear,01d
1672574400,2023-01-01 12:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,301.22,301.96,297.58,303.92,1010,53,5.05,177,4.52,,,5,800,Clear,sky is clear,01d
1672578000,2023-01-01 13:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,301.22,301.96,297.58,303.92,1010,53,5.05,177,4.52,,,5,800,Clear,sky is clear,01d
1672581600,2023-01-01 14:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,298.52,298.52,297.67,300.46,1009,54,4.35,238,3.95,,,2,800,Clear,sky is clear,01d
1672585200,2023-01-01 15:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,298.52,298.52,297.67,300.46,1009,54,4.35,238,3.95,,,2,800,Clear,sky is clear,01d
1672588800,2023-01-01 16:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,298.52,298.52,297.67,300.46,1009,54,4.35,238,3.95,,,2,800,Clear,sky is clear,01n
1672592400,2023-01-01 17:00:00 +0000 UTC,10800,Custom location,0.629072,33.640099,295.42,295.24,293.11,297.9,1010,59,4.2,220,3.9,,,4,800,Clear,sky is clear,01n
